,id,listing_url,last_scraped,name,host_id,host_name,host_since,host_location,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,price,minimum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,license,instant_bookable,calculated_host_listings_count,reviews_per_month,days_rented_ltm,rounded_revenue_ltm,occupancy_rate_approx,is_hotel,is_entire,many_listings,only_1_listing,only_2_listings,host_florence,has_liscense,is_instant_bookable,dist_duomo,is_centro,is_gavinana,is_isolotto,is_rifredi,is_campo,listing_revenue_exceed_LTR,effected_by_policy_1,effected_by_policy_2,effected_by_policy_3,commercial,very_likely_commercial,tourist_tax,unpaid_tourist_tax,geom
5,31840,https://www.airbnb.com/rooms/31840,2021-12-17,A Residenza Martin  Classic room,380378,Officina 360,2011-02-07,"Florence, Tuscany, Italy",36,Centro Storico,43.77709,11.25216,Private room,2,1.0,57.0,1.9,20,48,75,338,121,2,0,,t,26,0.87,3.2,182.4,0.8767123287671234,0,0,1,0,0,1,0,1,540.4705181558066,1,0,0,0,0,0,1,0,1,1,0,19.200000000000003,19.200000000000003,POINT (11.2522 43.7771)
6,32120,https://www.airbnb.com/rooms/32120,2021-12-17,Welcome at Corte Verde in Florence,99235,Lucia,2010-03-26,"Florence, Toscana, Italy",1,Gavinana Galluzzo,43.76157,11.27741,Entire home/apt,2,1.0,75.0,1.0,0,0,0,0,16,1,0,,t,1,0.12,1.6,120.0,0.4383561643835617,0,1,0,1,0,1,0,1,2147.792725321319,0,1,0,0,0,0,1,1,0,0,0,9.600000000000001,9.600000000000001,POINT (11.2774 43.7616)
7,32180,https://www.airbnb.com/rooms/32180,2021-12-17,Charming Gem - Oltrarno City centre,13925330,Cesare,2014-04-05,"Florence, Tuscany, Italy",2,Centro Storico,43.76832,11.24348,Entire home/apt,4,2.0,89.0,3.0,4,4,19,263,21,1,0,,t,2,0.15,1.6,142.4,0.4383561643835617,0,1,0,0,1,1,0,1,1139.3893144294555,1,0,0,0,0,0,1,1,0,0,0,9.600000000000001,9.600000000000001,POINT (11.2435 43.7683)
8,32395,https://www.airbnb.com/rooms/32395,2021-12-17,your room in florence,140170,Fabio,2010-06-07,"Florence, Toscana, Italy",5,Centro Storico,43.76268,11.24149,Hotel room,2,1.0,60.0,2.0,15,45,75,338,532,20,2,,t,5,3.84,32.0,1920.0,8.767123287671232,1,0,1,0,0,1,0,1,1644.7909447187235,1,0,0,0,0,0,1,0,1,1,0,192.0,192.0,POINT (11.2415 43.7627)
9,39115,https://www.airbnb.com/rooms/39115,2021-12-17,Central Double Shared Bathroom,167739,Lorenzo,2010-07-15,"Florence, Toscana, Italy",10,Centro Storico,43.77525,11.25258,Private room,2,1.0,65.0,2.0,3,6,19,270,50,2,0,,f,11,0.36,3.2,208.0,0.8767123287671234,0,0,1,0,0,1,0,0,364.5251050727623,1,0,0,0,0,0,1,0,1,1,0,19.200000000000003,19.200000000000003,POINT (11.2526 43.7752)
10,39165,https://www.airbnb.com/rooms/39165,2021-12-17,Florence Central Double Private Bathroom,167739,Lorenzo,2010-07-15,"Florence, Toscana, Italy",10,Centro Storico,43.77525,11.25258,Private room,2,1.0,72.0,2.0,25,55,67,304,15,1,0,,f,11,0.11,1.6,115.2,0.4383561643835617,0,0,1,0,0,1,0,0,364.5251050727623,1,0,0,0,0,0,1,0,1,1,0,9.600000000000001,9.600000000000001,POINT (11.2526 43.7752)
15,44781,https://www.airbnb.com/rooms/44781,2021-12-17,Stylish Terrace on Boboli Gardens,33210,Rocco,2009-08-22,"Florence, Tuscany, Italy",1,Centro Storico,43.76418,11.24618,Entire home/apt,4,1.0,99.0,3.0,13,13,13,214,305,24,1,,t,1,2.24,38.400000000000006,3801.6,10.52054794520548,0,1,0,1,0,1,0,1,1267.8385582260137,1,0,0,0,0,0,1,1,0,0,0,230.40000000000003,230.40000000000003,POINT (11.2462 43.7642)
16,45606,https://www.airbnb.com/rooms/45606,2021-12-17,MATTEO Apart. Florence Centre,202686,Tarcisio,2010-08-16,"Florence, Toscana, Italy",3,Isolotto Legnaia,43.7728,11.23746,Entire home/apt,3,1.0,70.0,4.0,2,31,44,319,409,6,0,,t,3,3.2,12.0,840.0,3.287671232876712,0,1,1,0,0,1,0,1,1493.0539386735159,0,0,1,0,0,0,1,1,1,0,1,72.0,72.0,POINT (11.2375 43.7728)
17,46520,https://www.airbnb.com/rooms/46520,2021-12-17,A Residenza Martin:  Superior room,380378,Officina 360,2011-02-07,"Florence, Tuscany, Italy",36,Centro Storico,43.77699,11.25216,Private room,3,1.0,57.0,1.9,25,55,82,345,93,6,0,,t,26,0.68,9.600000000000001,547.2,2.63013698630137,0,0,1,0,0,1,0,1,531.3950627188879,1,0,0,0,0,0,1,0,1,1,0,57.60000000000001,57.60000000000001,POINT (11.2522 43.777)
18,46523,https://www.airbnb.com/rooms/46523,2021-12-17,A Residenza Martin:  Single room,380378,Officina 360,2011-02-07,"Florence, Tuscany, Italy",36,Centro Storico,43.77704,11.25217,Private room,1,1.0,43.0,1.9,16,44,74,333,216,16,5,,t,26,1.59,25.6,1100.8,7.013698630136987,0,0,1,0,0,1,0,1,535.4591891676976,1,0,0,0,0,0,1,0,1,1,0,153.60000000000002,153.60000000000002,POINT (11.2522 43.777)
