,id,listing_url,last_scraped,name,host_id,host_name,host_since,host_location,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,price,availability_30,availability_60,availability_90,availability_365,number_of_reviews_ltm,number_of_reviews_l30d,license,instant_bookable,calculated_host_listings_count,reviews_per_month
0,24469,https://www.airbnb.com/rooms/24469,2020-09-01,Fortezza/City Centre Modern Apt 2+2,99178,Benedetta And Lorenzo,2010-03-26,"Florence, Toscana, Italy",5.0,Centro Storico,43.78308,11.24418,Entire home/apt,4,1.0,70.0,30,60,90,365,1,0,,t,5,0.09
1,24470,https://www.airbnb.com/rooms/24470,2020-09-01,Fortezza/City Centre Modern Apt 2+1,99178,Benedetta And Lorenzo,2010-03-26,"Florence, Toscana, Italy",5.0,Centro Storico,43.78287,11.24431,Entire home/apt,3,1.0,70.0,30,60,90,365,0,0,,t,5,0.02
2,24471,https://www.airbnb.com/rooms/24471,2020-09-01,Fortezza/City Centre Modern Apt 4+2,99178,Benedetta And Lorenzo,2010-03-26,"Florence, Toscana, Italy",5.0,Centro Storico,43.78292,11.2446,Entire home/apt,6,2.0,135.0,30,60,90,365,0,0,,t,5,
3,24472,https://www.airbnb.com/rooms/24472,2020-09-01,Fortezza/City Centre Modern Apt 4+2,99178,Benedetta And Lorenzo,2010-03-26,"Florence, Toscana, Italy",5.0,Centro Storico,43.7815,11.24507,Entire home/apt,6,2.0,120.0,29,59,89,364,0,0,,t,5,0.02
4,29982,https://www.airbnb.com/rooms/29982,2020-08-31,Beautiful 2 bedrooms near Duomo,129216,Cristina,2010-05-21,"Florence, Toscana, Italy",18.0,Centro Storico,43.77348,11.2545,Entire home/apt,5,2.0,185.0,0,0,0,0,0,0,,t,18,0.27
5,32120,https://www.airbnb.com/rooms/32120,2020-09-01,Welcome at Corte Verde in Florence,99235,Lucia,2010-03-26,"Florence, Toscana, Italy",1.0,Gavinana Galluzzo,43.76352,11.27726,Entire home/apt,2,1.0,75.0,29,59,89,89,0,0,,t,1,0.12
6,32180,https://www.airbnb.com/rooms/32180,2020-09-01,Charming Gem - Oltrarno City centre,13925330,Cesare,2014-04-05,"Florence, Tuscany, Italy",2.0,Centro Storico,43.76964,11.2436,Entire home/apt,4,2.0,89.0,1,31,61,335,4,0,,t,2,0.16
7,32395,https://www.airbnb.com/rooms/32395,2020-09-01,your room in florence,140170,Fabio,2010-06-07,"Florence, Toscana, Italy",5.0,Centro Storico,43.76158,11.24188,Hotel room,2,1.0,60.0,30,57,87,362,17,4,,t,5,4.14
8,39115,https://www.airbnb.com/rooms/39115,2020-09-01,Central Double Shared Bathroom,167739,Lorenzo,2010-07-15,"Florence, Toscana, Italy",10.0,Centro Storico,43.77525,11.25258,Private room,2,1.0,65.0,30,60,90,365,0,0,,f,10,0.4
9,39165,https://www.airbnb.com/rooms/39165,2020-09-01,Florence Central Double Private Bathroom,167739,Lorenzo,2010-07-15,"Florence, Toscana, Italy",10.0,Centro Storico,43.77525,11.25258,Private room,2,1.0,85.0,30,60,90,365,0,0,,f,10,0.12
10,39821,https://www.airbnb.com/rooms/39821,2020-09-01,STUDIO P.zza del CARMINE1 S.Spirito,154769,Matilde,2010-06-29,"Florence, Toscana, Italy",7.0,Centro Storico,43.76853,11.24395,Entire home/apt,3,,65.0,30,60,90,365,0,0,,t,5,0.32
11,39822,https://www.airbnb.com/rooms/39822,2020-09-01,Apartment Santa Monaca,154769,Matilde,2010-06-29,"Florence, Toscana, Italy",7.0,Centro Storico,43.76865,11.24426,Entire home/apt,4,2.0,60.0,0,0,0,243,1,0,,t,5,0.21
12,42997,https://www.airbnb.com/rooms/42997,2020-08-31,Pinzochere 2DX Studio,4156491,Apartments Florence,2012-11-15,"Florence, Tuscany, Italy",189.0,Centro Storico,43.76944,11.26331,Entire home/apt,2,1.0,107.0,6,6,6,6,0,0,,t,175,0.02
13,43365,https://www.airbnb.com/rooms/43365,2020-08-31,Pinzochere 2SX by Santa Croce,4156491,Apartments Florence,2012-11-15,"Florence, Tuscany, Italy",189.0,Centro Storico,43.76944,11.26331,Entire home/apt,3,1.0,143.0,0,0,0,0,0,0,,t,175,0.01
14,43369,https://www.airbnb.com/rooms/43369,2020-08-31,Pinzochere Mansarda at SANTA CROCE,4156491,Apartments Florence,2012-11-15,"Florence, Tuscany, Italy",189.0,Centro Storico,43.76944,11.26331,Entire home/apt,2,1.0,142.0,7,7,7,7,0,0,,t,175,0.09
15,44781,https://www.airbnb.com/rooms/44781,2020-09-01,Stylish Terrace on Boboli Gardens,33210,Rocco,2009-08-22,"Florence, Toscana, Italy",1.0,Centro Storico,43.76418,11.24618,Entire home/apt,4,1.0,100.71,15,35,58,329,24,3,,t,1,2.31
16,45606,https://www.airbnb.com/rooms/45606,2020-09-01,MATTEO Apart. Florence Centre,202686,Tarcisio,2010-08-16,"Florence, Toscana, Italy",4.0,Isolotto Legnaia,43.7728,11.23746,Entire home/apt,3,1.0,50.0,10,40,70,345,12,0,,t,3,3.6
17,47498,https://www.airbnb.com/rooms/47498,2020-09-01,Leonardo House,215302,Darko,2010-08-28,"Florence, Toscana, Italy",4.0,Centro Storico,43.77224,11.24996,Private room,3,1.0,42.0,30,60,78,347,18,1,,t,3,4.0
18,48372,https://www.airbnb.com/rooms/48372,2020-09-01,Central Single Shared Bathroom,167739,Lorenzo,2010-07-15,"Florence, Toscana, Italy",10.0,Centro Storico,43.77525,11.25258,Private room,1,1.0,55.0,30,60,90,365,0,0,,f,10,0.04
19,52543,https://www.airbnb.com/rooms/52543,2020-09-01,FILIPPO Apartm. FLORENCE CENTER,202686,Tarcisio,2010-08-16,"Florence, Toscana, Italy",4.0,Isolotto Legnaia,43.77336,11.23653,Entire home/apt,5,1.0,58.0,1,1,30,305,10,0,,t,3,1.68
20,52545,https://www.airbnb.com/rooms/52545,2020-09-01,LETIZIA FLORENCE CENTER Apartm.,202686,Tarcisio,2010-08-16,"Florence, Toscana, Italy",4.0,Isolotto Legnaia,43.77196,11.23862,Entire home/apt,4,1.0,65.0,0,0,0,274,7,0,,t,3,1.88
21,53454,https://www.airbnb.com/rooms/53454,2020-09-02,Apt near center & RailwayStation,248796,Paolo,2010-09-29,"Pistoia, Tuscany, Italy",6.0,Centro Storico,43.7816,11.2568,Entire home/apt,3,1.0,60.0,0,0,0,0,0,0,,f,2,0.7
22,56143,https://www.airbnb.com/rooms/56143,2020-09-01,Family Apartments - Lillà,179187,Danilo,2010-07-24,"Florence, Toscana, Italy",54.0,Centro Storico,43.76925,11.25516,Entire home/apt,4,1.0,53.0,1,12,40,315,0,0,,t,54,0.19
23,56154,https://www.airbnb.com/rooms/56154,2020-09-01,Family Apartments- Rosso,179187,Danilo,2010-07-24,"Florence, Toscana, Italy",54.0,Centro Storico,43.76931,11.25661,Entire home/apt,6,2.0,73.0,11,23,45,313,3,0,,t,54,0.1
24,57433,https://www.airbnb.com/rooms/57433,2020-09-01,Family Apartments- Arancio,179187,Danilo,2010-07-24,"Florence, Toscana, Italy",54.0,Centro Storico,43.76911,11.25487,Entire home/apt,6,2.0,67.0,10,25,55,330,1,0,,t,54,0.2
25,57542,https://www.airbnb.com/rooms/57542,2020-09-01,love Florence?love Florentin house,274074,Elly,2010-10-29,"Florence, Toscana, Italy",22.0,Centro Storico,43.77067,11.24896,Entire home/apt,4,1.0,75.0,30,57,87,347,2,0,,f,20,0.89
26,57572,https://www.airbnb.com/rooms/57572,2020-09-01,Camera Verde B&B Leonardo da Vinci,274227,Carla,2010-10-29,"Florence, Toscana, Italy",3.0,Campo di Marte,43.7818,11.26478,Private room,3,1.0,48.0,0,0,0,153,8,0,,t,3,1.35
27,57644,https://www.airbnb.com/rooms/57644,2020-09-01,Terrazzino Apartment,274758,Francesco,2010-10-30,"Florence, Toscana, Italy",6.0,Centro Storico,43.77713,11.26182,Entire home/apt,4,1.0,101.2,21,51,81,258,0,0,,t,5,0.62
28,57767,https://www.airbnb.com/rooms/57767,2020-09-02,Toscanella Apartment,274758,Francesco,2010-10-30,"Florence, Toscana, Italy",6.0,Centro Storico,43.76728,11.25066,Entire home/apt,8,3.0,168.0,18,46,74,349,7,0,,t,5,0.71
29,57859,https://www.airbnb.com/rooms/57859,2020-09-01,"Bright flat,Terrace central Firenze",274074,Elly,2010-10-29,"Florence, Toscana, Italy",22.0,Centro Storico,43.77588,11.25453,Entire home/apt,4,1.0,90.0,26,56,86,118,10,0,,t,20,1.3
30,60838,https://www.airbnb.com/rooms/60838,2020-09-01,Home Sweet Home away from home 753 Square Feet,293716,Paolo,2010-11-21,"Florence, Toscana, Italy",1.0,Centro Storico,43.77436,11.26345,Entire home/apt,4,2.0,84.0,29,59,89,269,0,0,,t,1,0.73
31,61209,https://www.airbnb.com/rooms/61209,2020-09-01,B&B Leonardo da Vinci Double Room,274227,Carla,2010-10-29,"Florence, Toscana, Italy",3.0,Campo di Marte,43.78331,11.26558,Private room,2,1.0,42.0,0,0,0,153,16,0,,t,3,3.84
32,64023,https://www.airbnb.com/rooms/64023,2020-09-01,Loft style historical Central,96905,Elisabetta And Claudia,2010-03-21,"Florence, Tuscany, Italy",3.0,Centro Storico,43.77089,11.25966,Entire home/apt,2,1.0,51.0,29,59,89,364,13,0,,t,3,1.34
33,66045,https://www.airbnb.com/rooms/66045,2020-09-01,ARTISTI bright and comfortable apartment,323151,Mauro,2010-12-20,"Florence, Toscana, Italy",4.0,Campo di Marte,43.78296,11.26874,Entire home/apt,4,1.0,62.0,0,0,0,243,0,0,,f,4,0.82
34,66324,https://www.airbnb.com/rooms/66324,2020-09-02,"Le Tre Stanze Bedrooms,Junior Suite",324794,Steiner,2010-12-22,"Florence, Toscana, Italy",3.0,Centro Storico,43.77205,11.25898,Private room,3,1.0,120.0,1,1,1,1,0,0,,f,3,0.27
35,66353,https://www.airbnb.com/rooms/66353,2020-09-01,AGNOLO gorgeous and colorful flat,323151,Mauro,2010-12-20,"Florence, Toscana, Italy",4.0,Centro Storico,43.77028,11.2669,Entire home/apt,5,3.0,95.0,10,10,10,264,1,0,,f,4,0.2
36,66598,https://www.airbnb.com/rooms/66598,2020-09-01,Santa Croce wonderful and cozy apartment,323151,Mauro,2010-12-20,"Florence, Toscana, Italy",4.0,Centro Storico,43.76647,11.26493,Entire home/apt,7,2.0,85.0,0,30,60,335,0,0,,f,4,1.17
37,66903,https://www.airbnb.com/rooms/66903,2020-09-01,apartment in the center of Florence,328936,Stefano,2010-12-28,"Florence, Toscana, Italy",1.0,Centro Storico,43.77537,11.2598,Entire home/apt,4,1.0,82.0,28,58,88,363,0,0,,t,1,0.08
38,67725,https://www.airbnb.com/rooms/67725,2020-09-01,Central Triple Private Bathroom,167739,Lorenzo,2010-07-15,"Florence, Toscana, Italy",10.0,Centro Storico,43.77525,11.25258,Private room,3,1.0,99.0,30,60,90,365,0,0,,f,10,0.04
39,68273,https://www.airbnb.com/rooms/68273,2020-09-01,Regal Apartment in 16th Century Florentine Palazzo,338220,Allegra,2011-01-07,"Florence, Toscana, Italy",4.0,Centro Storico,43.77931,11.25835,Entire home/apt,3,1.0,124.0,30,60,90,365,4,1,,t,1,0.28
40,68530,https://www.airbnb.com/rooms/68530,2020-09-01,Lovely Flat in Old Town Florence,340421,Franco,2011-01-09,"Florence, Toscana, Italy",1.0,Centro Storico,43.77646,11.25244,Entire home/apt,6,2.0,93.0,30,60,85,350,5,0,,t,1,0.58
41,70885,https://www.airbnb.com/rooms/70885,2020-09-01,Central Double Shared Bathroom,167739,Lorenzo,2010-07-15,"Florence, Toscana, Italy",10.0,Centro Storico,43.77525,11.25258,Private room,2,1.0,65.0,30,60,90,365,0,0,,f,10,0.18
42,71605,https://www.airbnb.com/rooms/71605,2020-09-01,Florence Central Double Private Bathroom,167739,Lorenzo,2010-07-15,"Florence, Toscana, Italy",10.0,Centro Storico,43.77525,11.25258,Private room,2,1.0,85.0,30,60,90,365,0,0,,f,10,0.13
43,73345,https://www.airbnb.com/rooms/73345,2020-09-01,Luxury Apartment near Duomo,382561,Ati,2011-02-08,"Florence, Tuscany, Italy",9.0,Centro Storico,43.77068,11.25193,Entire home/apt,4,1.0,46.0,24,54,84,358,14,5,,t,8,1.43
44,73739,https://www.airbnb.com/rooms/73739,2020-09-01,Your apartment in the Heart of City,385786,Dante,2011-02-10,"Rome, Lazio, Italy",1.0,Isolotto Legnaia,43.76988,11.23978,Entire home/apt,4,1.0,59.0,0,0,0,228,3,0,,t,1,0.3
45,74682,https://www.airbnb.com/rooms/74682,2020-09-01,Large Studio in Ognissanti Palace,386165,Gian,2011-02-10,"Florence, Toscana, Italy",1.0,Centro Storico,43.77306,11.24341,Entire home/apt,2,1.0,40.0,13,38,68,336,44,2,,f,1,6.92
46,74875,https://www.airbnb.com/rooms/74875,2020-09-01,Florentine Villa in FLORENCE,318416,Elena,2010-12-14,"Florence, Tuscany, Italy",5.0,Rifredi,43.79495,11.24997,Private room,13,6.0,700.0,29,59,89,364,0,0,,t,5,0.04
47,75803,https://www.airbnb.com/rooms/75803,2020-09-01,B&B Borgo Ponte all'Asse,403066,Paola,2011-02-21,"Firenze, Toscana, Italy",3.0,Gavinana Galluzzo,43.74343,11.21368,Private room,8,2.0,110.0,0,0,0,249,0,0,,f,2,0.08
48,77570,https://www.airbnb.com/rooms/77570,2020-09-01,Duomo Flat Amazing view in Florence,416144,Massimiliano,2011-03-01,"Florence, Toscana, Italy",1.0,Centro Storico,43.77272,11.25914,Entire home/apt,4,2.0,85.0,14,34,63,312,73,6,,t,1,5.04
49,80692,https://www.airbnb.com/rooms/80692,2020-09-01,Alfani Suite by GALLERIA ACCADEMIA,4156491,Apartments Florence,2012-11-15,"Florence, Tuscany, Italy",189.0,Centro Storico,43.77556,11.26009,Entire home/apt,4,1.0,153.0,6,6,6,6,0,0,,t,175,0.04
50,80693,https://www.airbnb.com/rooms/80693,2020-09-01,Alfani Terrace 2b near the Duomo,4156491,Apartments Florence,2012-11-15,"Florence, Tuscany, Italy",189.0,Centro Storico,43.77556,11.26009,Entire home/apt,6,2.0,160.0,6,6,6,6,0,0,,t,175,0.18
51,80694,https://www.airbnb.com/rooms/80694,2020-09-02,Alfani 2b VIEW OF DUOMO,4156491,Apartments Florence,2012-11-15,"Florence, Tuscany, Italy",189.0,Centro Storico,43.77556,11.26009,Entire home/apt,6,2.0,158.0,0,0,0,0,3,0,,t,175,0.2
52,81606,https://www.airbnb.com/rooms/81606,2020-08-31,MAGDA: - close to the DUOMO-SPECIAL APRIL-MAY,434231,Magda,2011-03-10,"Viareggio, Tuscany, Italy",11.0,Centro Storico,43.77408,11.25899,Entire home/apt,6,2.0,140.0,28,58,88,363,0,0,,f,6,0.05
53,81897,https://www.airbnb.com/rooms/81897,2020-08-31,"OYSTER: lovely for 2, QUIET, by the DUOMO",434231,Magda,2011-03-10,"Viareggio, Tuscany, Italy",11.0,Centro Storico,43.77353,11.25907,Entire home/apt,2,1.0,146.0,30,60,90,365,1,0,,f,6,0.09
54,82478,https://www.airbnb.com/rooms/82478,2020-08-31,"MASSIMO: A CHARMING  LOFT for TWO, BY THE DUOMO",434231,Magda,2011-03-10,"Viareggio, Tuscany, Italy",11.0,Centro Storico,43.77506,11.25817,Entire home/apt,2,1.0,146.0,17,30,60,335,0,0,,f,6,0.08
55,82496,https://www.airbnb.com/rooms/82496,2020-08-31,ARIANNA: a lovely apartment for 4 by the Duomo,434231,Magda,2011-03-10,"Viareggio, Tuscany, Italy",11.0,Centro Storico,43.77423,11.25877,Entire home/apt,4,2.0,110.0,30,60,90,365,0,0,,f,6,
56,82626,https://www.airbnb.com/rooms/82626,2020-09-01,Florence Central Twin Shared Bathroom,167739,Lorenzo,2010-07-15,"Florence, Toscana, Italy",10.0,Centro Storico,43.77525,11.25258,Private room,2,1.0,65.0,30,60,90,365,0,0,,f,10,0.15
57,83045,https://www.airbnb.com/rooms/83045,2020-09-01,Classy & big penthouse + cooking,405852,Michele,2011-02-23,"Florence, Toscana, Italy",2.0,Centro Storico,43.76797,11.25869,Entire home/apt,10,5.0,320.0,26,56,86,349,5,0,,f,1,1.81
58,84726,https://www.airbnb.com/rooms/84726,2020-09-01,Boboli Garden S. Spirito Center,154769,Matilde,2010-06-29,"Florence, Toscana, Italy",7.0,Centro Storico,43.7625,11.24469,Entire home/apt,3,1.0,69.0,0,0,0,23,4,0,,t,5,0.85
59,84829,https://www.airbnb.com/rooms/84829,2020-09-01,APT. with terrace at the Cathedral,463865,Alessandro,2011-03-26,"Florence, Tuscany, Italy",2.0,Centro Storico,43.77358,11.25723,Entire home/apt,4,1.0,122.0,25,55,77,345,7,0,,f,1,0.71
60,86503,https://www.airbnb.com/rooms/86503,2020-09-01,ALLEGRI: A LOFT WITH A GARDEN  IN ST. CROCE,434231,Magda,2011-03-10,"Viareggio, Tuscany, Italy",11.0,Centro Storico,43.76894,11.26489,Entire home/apt,4,1.0,100.0,0,0,0,62,1,0,,f,6,0.15
61,87404,https://www.airbnb.com/rooms/87404,2020-09-01,Hotel Il Bargellino highest ratings,478796,Giuseppe,2011-04-02,"Florence, Toscana, Italy",3.0,Centro Storico,43.77956,11.25217,Private room,2,1.0,60.0,2,30,60,335,0,0,,f,2,0.13
62,89856,https://www.airbnb.com/rooms/89856,2020-09-01,Private terrace Live like a local in St Croce ⭐️,488317,Diana,2011-04-06,"Florence, Toscana, Italy",44.0,Centro Storico,43.76689,11.26172,Entire home/apt,4,2.0,108.0,20,46,76,329,14,1,,t,43,0.88
63,90557,https://www.airbnb.com/rooms/90557,2020-09-02,Magic Florence,490856,David,2011-04-07,"Florence, Tuscany, Italy",1.0,Campo di Marte,43.77017,11.27639,Entire home/apt,3,1.0,48.0,0,0,0,0,1,0,,f,1,0.62
64,94759,https://www.airbnb.com/rooms/94759,2020-09-01,New Michelangelo On Santa Croce Square,505611,Maura E Giovanni,2011-04-13,"Florence, Toscana, Italy",5.0,Centro Storico,43.76876,11.2635,Entire home/apt,5,2.0,90.0,30,60,90,365,9,0,,t,5,2.93
65,94913,https://www.airbnb.com/rooms/94913,2020-09-02,Central room with private bathroom,506219,Elisabetta E Giovanni,2011-04-13,"Florence, Toscana, Italy",4.0,Centro Storico,43.76971,11.24542,Private room,3,1.0,47.0,1,1,1,1,23,1,,t,2,2.97
66,95222,https://www.airbnb.com/rooms/95222,2020-09-01,HARMONY and HOSPITALITY - B & B,507281,Fiorella,2011-04-13,"Florence, Toscana, Italy",2.0,Rifredi,43.79451,11.21863,Private room,2,1.0,79.0,29,59,89,269,0,0,,f,2,0.02
67,96355,https://www.airbnb.com/rooms/96355,2020-08-31,B&B heart of Florence- Uffizi,511621,Elona,2011-04-15,"Florence, Tuscany, Italy",3.0,Centro Storico,43.76918,11.25693,Hotel room,2,1.0,110.0,30,60,90,345,3,0,,t,2,1.08
68,99764,https://www.airbnb.com/rooms/99764,2020-09-01,Michelangelo Guesthouse,525133,Niccolò,2011-04-21,"Florence, Toscana, Italy",2.0,Gavinana Galluzzo,43.76346,11.27101,Private room,2,1.0,129.0,29,59,89,364,0,0,,f,1,
69,103905,https://www.airbnb.com/rooms/103905,2020-09-01,Pandolfini 1b close to Duomo,4156491,Apartments Florence,2012-11-15,"Florence, Tuscany, Italy",189.0,Centro Storico,43.77089,11.2606,Entire home/apt,3,1.0,134.0,6,6,6,6,0,0,,t,175,0.03
70,105652,https://www.airbnb.com/rooms/105652,2020-09-01,Quiet haven in San Lorenzo area,5033794,Artan,2013-02-10,"Florence, Tuscany, Italy",5.0,Centro Storico,43.77583,11.25489,Entire home/apt,10,3.0,156.0,30,60,90,365,12,0,,f,5,3.63
71,106407,https://www.airbnb.com/rooms/106407,2020-08-31,Ghibellina 4B by MICHELANGELO'S HOUSE,4156491,Apartments Florence,2012-11-15,"Florence, Tuscany, Italy",189.0,Centro Storico,43.76977,11.26376,Entire home/apt,10,4.0,310.0,26,50,76,333,3,1,,t,175,0.33
72,109302,https://www.airbnb.com/rooms/109302,2020-09-01,Camera in centro a Firenze,564660,Manuela,2011-05-07,"Florence, Toscana, Italy",2.0,Centro Storico,43.77184,11.25731,Private room,2,1.0,65.0,0,0,0,0,0,0,,f,1,0.89
73,116651,https://www.airbnb.com/rooms/116651,2020-09-01,Central Venere with Terrace,382561,Ati,2011-02-08,"Florence, Tuscany, Italy",9.0,Centro Storico,43.77473,11.25154,Entire home/apt,5,2.0,132.0,1,31,61,336,0,0,,f,8,0.36
74,122324,https://www.airbnb.com/rooms/122324,2020-09-01,"Villa with great view over Florence, pool, Wi-Fi",613199,Lorenzo,2011-05-22,"Florence, Toscana, Italy",6.0,Campo di Marte,43.80896,11.27547,Entire home/apt,12,5.0,810.0,5,26,56,250,0,0,048017LTN4431,f,2,0.18
75,128095,https://www.airbnb.com/rooms/128095,2020-09-01,Station-Center Sun room-TreGigliBB,633736,Fernanda,2011-05-27,IT,3.0,Centro Storico,43.77412,11.24568,Private room,2,1.0,56.0,30,60,90,358,1,0,,t,3,1.47
76,128907,https://www.airbnb.com/rooms/128907,2020-09-01,Il Podesta Apartment in Florence,636702,Massimiliano Lepri,2011-05-28,"Florence, Tuscany, Italy",1.0,Gavinana Galluzzo,43.74913,11.23474,Entire home/apt,4,2.0,40.0,0,19,49,324,9,0,,t,1,1.62
77,129927,https://www.airbnb.com/rooms/129927,2020-09-01,Studio Ricasoli overlooking Duomo,640338,Bettina,2011-05-29,"Florence, Toscana, Italy",1.0,Centro Storico,43.77468,11.25732,Entire home/apt,2,1.0,55.0,29,59,89,364,1,0,,f,1,0.82
78,131143,https://www.airbnb.com/rooms/131143,2020-09-01,LIVE LOVE IN FIRENZE ROOM B&B WiFi,645392,Roberto,2011-05-31,"Florence, Tuscany, Italy",1.0,Rifredi,43.79014,11.2376,Private room,3,1.0,38.0,29,59,89,364,16,0,,f,1,5.88
79,131202,https://www.airbnb.com/rooms/131202,2020-09-01,B&B Santa Croce in the heart of Florence,645845,Massimo,2011-05-31,"Bangkok, Thailand",4.0,Centro Storico,43.76476,11.25891,Private room,2,1.0,79.0,27,57,87,267,0,0,,f,4,2.99
80,132955,https://www.airbnb.com/rooms/132955,2020-09-01,Il MelogranoFelice center Florence,653025,Olivia,2011-06-01,"Florence, Tuscany, Italy",2.0,Centro Storico,43.7619,11.24016,Private room,2,1.0,36.0,30,60,90,365,1,0,,f,1,0.39
